Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
skillRangedCraftingPerks,,,,,,"Ranged Crafting Perks"
skillRangedCraftingPerksName,,,,,,"Ranged Crafting Perks"
skillRangedCraftingPerksDesc,,,,,,"Ranged Crafting Perks"
skillAmmoCraftingPerks,,,,,,"Ammo Crafting Perks"
skillAmmoCraftingPerksName,,,,,,"Ammo Crafting Perks"
skillAmmoCraftingPerksDesc,,,,,,"Ammo Crafting Perks"
skillMiscCraftingPerks,,,,,,"Misc Crafting Perks"
skillMiscCraftingPerksName,,,,,,"Misc Crafting Perks [Scroll Down To See More]"
skillMiscCraftingPerksDesc,,,,,,"Misc Crafting Perks"
izpActionBluntWeaponsName,,,,,,"Blunt Weapons"
izpActionBluntWeaponsSkill,,,,,,"Blunt Weapons"
izpActionBluntWeaponsDesc,,,,,,"Clubs, Hammers, Wrenches, Batons, Knuckles or anything else you can crush a skull with. Higher levels mean being able to do more damage with blunt weapons."
izpActionBluntWeaponsRankDesc,,,,,,"+ 0.5% Damage With Blunt Weapons"
izpActionBluntWeaponsRank1Desc,,,,,,"Level By Killing Enemies With Blunt"
izpActionBluntWeaponsRank1LongDesc,,,,,,"Level by killing enemies with any blunt object or reading Big Hitters skill magazines."
izpActionBluntWeaponsRankLongDesc,,,,,,"+ 0.5% Damage with blunt weapons. Max: 100/100 with +50% damage."
izpActionBladeWeaponsName,,,,,,"Bladed Weapons"
izpActionBladeWeaponsSkill,,,,,,"Bladed Weapons"
izpActionBladeWeaponsDesc,,,,,,"Knives, Machetes, Axes or anything else you can slash, rip and tear someone open with. Higher levels mean being able to do more damage with bladed weapons."
izpActionBladeWeaponsRank1Desc,,,,,,"Level By Killing Enemies With Blades"
izpActionBladeWeaponsRank1LongDesc,,,,,,"Level by killing enemies with bladed weapons or reading Knife Guy skill magazines."
izpActionBladeWeaponsRankDesc,,,,,,"+ 0.5% Damage With Bladed Weapons"
izpActionBladeWeaponsRankLongDesc,,,,,,"+ 0.5% Damage with bladed weapons. Max: 100/100 with +50% damage."
izpActionPiercingWeaponsName,,,,,,"Piercing Weapons"
izpActionPiercingWeaponsSkill,,,,,,"Piercing Weapons"
izpActionPiercingWeaponsDesc,,,,,,"Spears, Pickaxes, Shovels or anything else you can skewer someone with. Higher levels mean being able to do more damage with piercing weapons."
izpActionPiercingWeaponsRankDesc,,,,,,"+ 0.5% Damage With Piercing Weapons"
izpActionPiercingWeaponsRankLongDesc,,,,,,"+ 0.5% Damage with piercing weapons. Max: 100/100 with +50% damage."
izpActionPiercingWeaponsRank1Desc,,,,,,"Level By Killing Enemies With Piercing"
izpActionPiercingWeaponsRank1LongDesc,,,,,,"Level by killing enemies with piercing weapons or reading Sharp Sticks skill magazines."
izpActionArcheryName,,,,,,"Archery"
izpActionArcherySkill,,,,,,"Archery"
izpActionArcheryDesc,,,,,,"Bows and crossbows, tried and true. Silent but deadly...no wait not like that. Higher levels mean being able to do more damage with bows and crossbows."
izpActionArcheryRankDesc,,,,,,"+ 0.5% Damage"
izpActionArcheryRankLongDesc,,,,,,"+ 0.5% Damage with bows and crossbows. Max: 100/100 with +50% damage."
izpActionArcheryRank1Desc,,,,,,"Level By Killing Enemies With Archery"
izpActionArcheryRank1LongDesc,,,,,,"Level by hitting and killing enemies with archery or reading Bow Hunter skill magazines."
izpActionPistolsName,,,,,,"Pistols"
izpActionPistolsSkill,,,,,,"Pistols"
izpActionPistolsDesc,,,,,,"Handguns and Submachine Guns. You don't need heavy weapons when you have real talent like yours. Higher levels mean being able to do more damage with handguns and SMGs."
izpActionPistolsRankDesc,,,,,,"+ 0.5% Damage, -0.25% Less Recoil"
izpActionPistolsRankLongDesc,,,,,,"+ 0.5% Damage, -0.25% Less Recoil With Handguns and SMGs. Max: 100/100 with +50% damage and 25% recoil."
izpActionPistolsRank1Desc,,,,,,"Level By Killing Enemies With Pistols"
izpActionPistolsRank1LongDesc,,,,,,"Level by hitting and killing enemies with pistols or reading Handgun skill magazines."
izpActionShotgunsName,,,,,,"Shotguns"
izpActionShotgunsSkill,,,,,,"Shotguns"
izpActionShotgunsDesc,,,,,,"Shotguns and Zombies. They go together like Bacon and Eggs. Higher levels mean being able to do more damage with shotguns."
izpActionShotgunsRankDesc,,,,,,"+ 0.5% Damage, + 0.3% Reload Speed"
izpActionShotgunsRankLongDesc,,,,,,"+ 0.5% Damage, + 0.3% Reload Speed with Shotguns. Max: 100/100 with +50% damage, +30% reload speed."
izpActionShotgunsRank1Desc,,,,,,"Level By Killing Enemies With Shotguns"
izpActionShotgunsRank1LongDesc,,,,,,"Level by hitting and killing enemies with shotguns or reading Shotgun Weekly skill magazines."
izpActionRiflesName,,,,,,"Rifles"
izpActionRiflesSkill,,,,,,"Rifles"
izpActionRiflesDesc,,,,,,"Rifles. High Risk. High Reward. Don't Miss. Higher levels mean being able to do more damage with Hunting, Lever Action and Sniper Rifles."
izpActionRiflesRankDesc,,,,,,"+ 0.5% Damage, + 0.3% Reload Speed"
izpActionRiflesRankLongDesc,,,,,,"+ 0.5% Damage, + 0.3% Reload Speed With Hunting, Lever Action and Sniper Rifles. Max: 100/100 with +50% damage, +30% reload speed."
izpActionRiflesRank1Desc,,,,,,"Level By Killing Enemies With Rifles"
izpActionRiflesRank1LongDesc,,,,,,"Level by hitting and killing enemies with rifles or reading Rifle World skill magazines."
izpActionAutomaticRiflesName,,,,,,"Automatic Rifles"
izpActionAutomaticRiflesSkill,,,,,,"Automatic Rifles"
izpActionAutomaticRiflesDesc,,,,,,"Better Lead Than Dead...Whatever That Means. Higher levels mean being able to do more damage with Automatic Rifles."
izpActionAutomaticRiflesRankDesc,,,,,,"+ 0.5% Damage"
izpActionAutomaticRiflesRankLongDesc,,,,,,"+ 0.5% Damage. Max: 100/100 with +50% damage."
izpActionAutomaticRiflesRank1Desc,,,,,,"Level By Killing Enemies With Automatic Rifles"
izpActionAutomaticRiflesRank1LongDesc,,,,,,"Level by hitting and killing enemies with automatic rifles or reading Tactical Warfare skill magazines."
izpActionArmorName,,,,,,"Armor"
izpActionArmorSkill,,,,,,"Armor"
izpActionArmorDesc,,,,,,"Whether it's heavy metal, padded leather or light clothing, this skill makes you better at wearing it. Higher levels mean reduced armor degradation."
izpActionArmorRankDesc,,,,,,"0.6% Less Armor Degradation"
izpActionArmorRankLongDesc,,,,,,"Use 60% less durability per hit taken. Max: 60% Less Armor Degradation."
izpActionArmorRank1Desc,,,,,,"Level By Using Armor"
izpActionArmorRank1LongDesc,,,,,,"Level by taking damage, or moving while wearing at least one piece of armor or reading Armored Up skill magazines."
izpActionAthleticsName,,,,,,"Athletics"
izpActionAthleticsSkill,,,,,,"Athletics"
izpActionAthleticsDesc,,,,,,"Always remember, Rule #1: Cardio. Higher levels mean being able to run for longer and have more overall stamina."
izpActionAthleticsRankDesc,,,,,,"+ 0.25% Stamina Regen While Running + 0.25 Stamina"
izpActionAthleticsRankLongDesc,,,,,,"+0.25% stamina regeneration while sprinting, allowing you to run for longer. +0.25 Stamina. Max: 100/100 with +25% stamina regen +25 Stamina"
izpActionAthleticsRank1Desc,,,,,,"Level By Moving"
izpActionAthleticsRank1LongDesc,,,,,,"Level by running, jumping or swimming or reading Health Nut skill magazines."
izpActionSurvivalismName,,,,,,"Survivalism"
izpActionSurvivalismSkill,,,,,,"Survivalism"
izpActionSurvivalismDesc,,,,,,"Survivalism allows you to manage your food and water more efficiently. Higher levels mean using less food and water to restore stamina."
izpActionSurvivalismRankDesc,,,,,,"-0.25% Less Food and Water Used"
izpActionSurvivalismRankLongDesc,,,,,,"-0.25% Less Food and Water used to restore each point of stamina, Max: 100/100 with 25% less food and water used."
izpActionSurvivalismRank1Desc,,,,,,"Level By Skinning Animals, Harvesting Plants and Eating/Drinking."
izpActionSurvivalismRank1LongDesc,,,,,,"Level by eating or drinking food and water, skinning animals, harvesting plants or reading Home Cooking Weekly or Southern Farming skill magazines."
izpActionBarterName,,,,,,"Speech"
izpActionBarterSkill,,,,,,"Speech"
izpActionBarterDesc,,,,,,"Speech allows you to negotiate better prices at the trader. Higher levels mean more Dukes for things you sell and paying less Dukes for things you buy."
izpActionBarterRankDesc,,,,,,"+ 0.25% Better Deals at The Trader"
izpActionBarterRankLongDesc,,,,,,"+ 0.25% better deals at the trader when buying and selling, Max: 100/100 with 25% better deals."
izpActionBarterRank1Desc,,,,,,"Level By Reading Business Secrets Magazines"
izpActionBarterRank1LongDesc,,,,,,"Level by reading Business Secrets skill magazines or investing skill points. NOTE: Additional Levelling Methods In Development"
izpActionScienceName,,,,,,"Science"
izpActionScienceSkill,,,,,,"Science"
izpActionScienceDesc,,,,,,"Science is a measure of your aptitude in physics, biology, chemistry and medicine. Higher levels mean crafting chemical items like medicine and gunpowder faster."
izpActionScienceRankDesc,,,,,,"+ 0.25% Faster Chemical Crafting"
izpActionScienceRankLongDesc,,,,,,"+ 0.25% faster chemical crafting. Max: 100/100 with 25% faster crafting."
izpActionScienceRank1Desc,,,,,,"Level By Using Medical Items and Drugs"
izpActionScienceRank1LongDesc,,,,,,"Level by using Medical Items and drugs on yourself and others or reading Medical Journal or Wiring 101 skill magazines.\n\nAlso levels slightly by using salvage tools. NOTE: Additional Levelling Methods In Development"
izpActionEngineeringName,,,,,,"Engineering"
izpActionEngineeringSkill,,,,,,"Engineering"
izpActionEngineeringDesc,,,,,,"Engineering is a measure of your efficiency at crafting things. Higher levels mean crafting in your inventory, at your workbench or cement mixer faster."
izpActionEngineeringRankDesc,,,,,,"+ 0.25% Faster Crafting"
izpActionEngineeringRankLongDesc,,,,,,"+ 0.25% faster crafting in your inventory, workbench and cement mixer. Max: 100/100 with 25% faster crafting."
izpActionEngineeringRank1Desc,,,,,,"Level By Upgrading and Repairing Blocks"
izpActionEngineeringRank1LongDesc,,,,,,"Level by upgrading or repairing blocks or reading Forge Ahead or Handy Land skill magazines. \n\nAlso levels slightly by using salvage tools."
izpActionMiningName,,,,,,"Mining"
izpActionMiningSkill,,,,,,"Mining"
izpActionMiningDesc,,,,,,"Mining is a measure of your efficiency at mining blocks. Higher levels mean doing more block damage and collecting more resources with mining tools."
izpActionMiningRankDesc,,,,,,"+ 1% Block Damage, + 0.5% Harvest Yield "
izpActionMiningRankLongDesc,,,,,,"+ 1% block damage, + 0.5% harvest yield with mining tools. Max: 100/100 with 100% more block damage and 50% more harvest yield."
izpActionMiningRank1Desc,,,,,,"Level By Mining"
izpActionMiningRank1LongDesc,,,,,,"Level by mining blocks with mining tools or reading Tools Digest skill magazines."
izpActionSalvagingName,,,,,,"Salvaging"
izpActionSalvagingSkill,,,,,,"Salvaging"
izpActionSalvagingDesc,,,,,,"Salvaging is a measure of your efficiency at salvaging blocks. Higher levels mean doing more block damage and collecting more resources with salvaging tools."
izpActionSalvagingRankDesc,,,,,,"+ 1% Block Damage, + 0.5% Harvest Yield "
izpActionSalvagingRankLongDesc,,,,,,"+ 1% block damage, + 0.5% harvest yield with salvaging tools. Max: 100/100 with 100% more block damage and 50% more harvest yield."
izpActionSalvagingRank1Desc,,,,,,"Level By Salvaging"
izpActionSalvagingRank1LongDesc,,,,,,"Level by salvaging blocks with salvaging tools or reading Scrapping 4 Fun skill magazines."
izpActionScavengingName,,,,,,"Scavenging"
izpActionScavengingSkill,,,,,,"Scavenging"
izpActionScavengingDesc,,,,,,"Scavenging is a measure of your efficiency at looting. Higher levels mean looting faster and finding better loot."
izpActionScavengingRankDesc,,,,,,"+ 0.25% Loot Stage, - 0.5% Looting Time "
izpActionScavengingRankLongDesc,,,,,,"+ 0.25% Loot Stage, - 0.5% Looting Time. Max: 100/100 with 25% more lootstage and 50% faster looting."
izpActionScavengingRank1Desc,,,,,,"Level By Looting"
izpActionScavengingRank1LongDesc,,,,,,"Level by looting containers or reading Super Shopper skill magazines."
reqBlunt5,,,,,,"Requires Level 5 Blunt"
reqBlunt10,,,,,,"Requires Level 10 Blunt"
reqBlunt15,,,,,,"Requires Level 15 Blunt"
reqBlunt20,,,,,,"Requires Level 20 Blunt"
reqBlunt25,,,,,,"Requires Level 25 Blunt"
reqBlunt30,,,,,,"Requires Level 30 Blunt"
reqBlunt35,,,,,,"Requires Level 35 Blunt"
reqBlunt40,,,,,,"Requires Level 40 Blunt"
reqBlunt45,,,,,,"Requires Level 45 Blunt"
reqBlunt50,,,,,,"Requires Level 50 Blunt"
reqBlunt55,,,,,,"Requires Level 55 Blunt"
reqBlunt60,,,,,,"Requires Level 60 Blunt"
reqBlunt65,,,,,,"Requires Level 65 Blunt"
reqBlunt70,,,,,,"Requires Level 70 Blunt"
reqBlunt75,,,,,,"Requires Level 75 Blunt"
reqBlunt80,,,,,,"Requires Level 80 Blunt"
reqBlunt85,,,,,,"Requires Level 85 Blunt"
reqBlunt90,,,,,,"Requires Level 90 Blunt"
reqBlunt95,,,,,,"Requires Level 95 Blunt"
reqBlunt100,,,,,,"Requires Level 100 Blunt"
reqBlade5,,,,,,"Requires Level 5 Blade"
reqBlade10,,,,,,"Requires Level 10 Blade"
reqBlade15,,,,,,"Requires Level 15 Blade"
reqBlade20,,,,,,"Requires Level 20 Blade"
reqBlade25,,,,,,"Requires Level 25 Blade"
reqBlade30,,,,,,"Requires Level 30 Blade"
reqBlade35,,,,,,"Requires Level 35 Blade"
reqBlade40,,,,,,"Requires Level 40 Blade"
reqBlade45,,,,,,"Requires Level 45 Blade"
reqBlade50,,,,,,"Requires Level 50 Blade"
reqBlade55,,,,,,"Requires Level 55 Blade"
reqBlade60,,,,,,"Requires Level 60 Blade"
reqBlade65,,,,,,"Requires Level 65 Blade"
reqBlade70,,,,,,"Requires Level 70 Blade"
reqBlade75,,,,,,"Requires Level 75 Blade"
reqBlade80,,,,,,"Requires Level 80 Blade"
reqBlade85,,,,,,"Requires Level 85 Blade"
reqBlade90,,,,,,"Requires Level 90 Blade"
reqBlade95,,,,,,"Requires Level 95 Blade"
reqBlade100,,,,,,"Requires Level 100 Blade"
reqAthletics5,,,,,,"Requires Level 5 Athletics"
reqAthletics10,,,,,,"Requires Level 10 Athletics"
reqAthletics15,,,,,,"Requires Level 15 Athletics"
reqAthletics20,,,,,,"Requires Level 20 Athletics"
reqAthletics25,,,,,,"Requires Level 25 Athletics"
reqAthletics30,,,,,,"Requires Level 30 Athletics"
reqAthletics35,,,,,,"Requires Level 35 Athletics"
reqAthletics40,,,,,,"Requires Level 40 Athletics"
reqAthletics45,,,,,,"Requires Level 45 Athletics"
reqAthletics50,,,,,,"Requires Level 50 Athletics"
reqAthletics55,,,,,,"Requires Level 55 Athletics"
reqAthletics60,,,,,,"Requires Level 60 Athletics"
reqAthletics65,,,,,,"Requires Level 65 Athletics"
reqAthletics70,,,,,,"Requires Level 70 Athletics"
reqAthletics75,,,,,,"Requires Level 75 Athletics"
reqAthletics80,,,,,,"Requires Level 80 Athletics"
reqAthletics85,,,,,,"Requires Level 85 Athletics"
reqAthletics90,,,,,,"Requires Level 90 Athletics"
reqAthletics95,,,,,,"Requires Level 95 Athletics"
reqAthletics100,,,,,,"Requires Level 100 Athletics"
reqPierce5,,,,,,"Requires Level 5 Pierce"
reqPierce10,,,,,,"Requires Level 10 Pierce"
reqPierce15,,,,,,"Requires Level 15 Pierce"
reqPierce20,,,,,,"Requires Level 20 Pierce"
reqPierce25,,,,,,"Requires Level 25 Pierce"
reqPierce30,,,,,,"Requires Level 30 Pierce"
reqPierce35,,,,,,"Requires Level 35 Pierce"
reqPierce40,,,,,,"Requires Level 40 Pierce"
reqPierce45,,,,,,"Requires Level 45 Pierce"
reqPierce50,,,,,,"Requires Level 50 Pierce"
reqPierce55,,,,,,"Requires Level 55 Pierce"
reqPierce60,,,,,,"Requires Level 60 Pierce"
reqPierce65,,,,,,"Requires Level 65 Pierce"
reqPierce70,,,,,,"Requires Level 70 Pierce"
reqPierce75,,,,,,"Requires Level 75 Pierce"
reqPierce80,,,,,,"Requires Level 80 Pierce"
reqPierce85,,,,,,"Requires Level 85 Pierce"
reqPierce90,,,,,,"Requires Level 90 Pierce"
reqPierce95,,,,,,"Requires Level 95 Pierce"
reqPierce100,,,,,,"Requires Level 100 Pierce"
reqArchery5,,,,,,"Requires Level 5 Archery"
reqArchery10,,,,,,"Requires Level 10 Archery"
reqArchery15,,,,,,"Requires Level 15 Archery"
reqArchery20,,,,,,"Requires Level 20 Archery"
reqArchery25,,,,,,"Requires Level 25 Archery"
reqArchery30,,,,,,"Requires Level 30 Archery"
reqArchery35,,,,,,"Requires Level 35 Archery"
reqArchery40,,,,,,"Requires Level 40 Archery"
reqArchery45,,,,,,"Requires Level 45 Archery"
reqArchery50,,,,,,"Requires Level 50 Archery"
reqArchery55,,,,,,"Requires Level 55 Archery"
reqArchery60,,,,,,"Requires Level 60 Archery"
reqArchery65,,,,,,"Requires Level 65 Archery"
reqArchery70,,,,,,"Requires Level 70 Archery"
reqArchery75,,,,,,"Requires Level 75 Archery"
reqArchery80,,,,,,"Requires Level 80 Archery"
reqArchery85,,,,,,"Requires Level 85 Archery"
reqArchery90,,,,,,"Requires Level 90 Archery"
reqArchery95,,,,,,"Requires Level 95 Archery"
reqArchery100,,,,,,"Requires Level 100 Archery"
reqPistols5,,,,,,"Requires Level 5 Pistols"
reqPistols10,,,,,,"Requires Level 10 Pistols"
reqPistols15,,,,,,"Requires Level 15 Pistols"
reqPistols20,,,,,,"Requires Level 20 Pistols"
reqPistols25,,,,,,"Requires Level 25 Pistols"
reqPistols30,,,,,,"Requires Level 30 Pistols"
reqPistols35,,,,,,"Requires Level 35 Pistols"
reqPistols40,,,,,,"Requires Level 40 Pistols"
reqPistols45,,,,,,"Requires Level 45 Pistols"
reqPistols50,,,,,,"Requires Level 50 Pistols"
reqPistols55,,,,,,"Requires Level 55 Pistols"
reqPistols60,,,,,,"Requires Level 60 Pistols"
reqPistols65,,,,,,"Requires Level 65 Pistols"
reqPistols70,,,,,,"Requires Level 70 Pistols"
reqPistols75,,,,,,"Requires Level 75 Pistols"
reqPistols80,,,,,,"Requires Level 80 Pistols"
reqPistols85,,,,,,"Requires Level 85 Pistols"
reqPistols90,,,,,,"Requires Level 90 Pistols"
reqPistols95,,,,,,"Requires Level 95 Pistols"
reqPistols100,,,,,,"Requires Level 100 Pistols"
reqShotguns5,,,,,,"Requires Level 5 Shotguns"
reqShotguns10,,,,,,"Requires Level 10 Shotguns"
reqShotguns15,,,,,,"Requires Level 15 Shotguns"
reqShotguns20,,,,,,"Requires Level 20 Shotguns"
reqShotguns25,,,,,,"Requires Level 25 Shotguns"
reqShotguns30,,,,,,"Requires Level 30 Shotguns"
reqShotguns35,,,,,,"Requires Level 35 Shotguns"
reqShotguns40,,,,,,"Requires Level 40 Shotguns"
reqShotguns45,,,,,,"Requires Level 45 Shotguns"
reqShotguns50,,,,,,"Requires Level 50 Shotguns"
reqShotguns55,,,,,,"Requires Level 55 Shotguns"
reqShotguns60,,,,,,"Requires Level 60 Shotguns"
reqShotguns65,,,,,,"Requires Level 65 Shotguns"
reqShotguns70,,,,,,"Requires Level 70 Shotguns"
reqShotguns75,,,,,,"Requires Level 75 Shotguns"
reqShotguns80,,,,,,"Requires Level 80 Shotguns"
reqShotguns85,,,,,,"Requires Level 85 Shotguns"
reqShotguns90,,,,,,"Requires Level 90 Shotguns"
reqShotguns95,,,,,,"Requires Level 95 Shotguns"
reqShotguns100,,,,,,"Requires Level 100 Shotguns"
reqRifles5,,,,,,"Requires Level 5 Rifles"
reqRifles10,,,,,,"Requires Level 10 Rifles"
reqRifles15,,,,,,"Requires Level 15 Rifles"
reqRifles20,,,,,,"Requires Level 20 Rifles"
reqRifles25,,,,,,"Requires Level 25 Rifles"
reqRifles30,,,,,,"Requires Level 30 Rifles"
reqRifles35,,,,,,"Requires Level 35 Rifles"
reqRifles40,,,,,,"Requires Level 40 Rifles"
reqRifles45,,,,,,"Requires Level 45 Rifles"
reqRifles50,,,,,,"Requires Level 50 Rifles"
reqRifles55,,,,,,"Requires Level 55 Rifles"
reqRifles60,,,,,,"Requires Level 60 Rifles"
reqRifles65,,,,,,"Requires Level 65 Rifles"
reqRifles70,,,,,,"Requires Level 70 Rifles"
reqRifles75,,,,,,"Requires Level 75 Rifles"
reqRifles80,,,,,,"Requires Level 80 Rifles"
reqRifles85,,,,,,"Requires Level 85 Rifles"
reqRifles90,,,,,,"Requires Level 90 Rifles"
reqRifles95,,,,,,"Requires Level 95 Rifles"
reqRifles100,,,,,,"Requires Level 100 Rifles"
reqAutoRifles5,,,,,,"Requires Level 5 Automatic Rifles"
reqAutoRifles10,,,,,,"Requires Level 10 Automatic Rifles"
reqAutoRifles15,,,,,,"Requires Level 15 Automatic Rifles"
reqAutoRifles20,,,,,,"Requires Level 20 Automatic Rifles"
reqAutoRifles25,,,,,,"Requires Level 25 Automatic Rifles"
reqAutoRifles30,,,,,,"Requires Level 30 Automatic Rifles"
reqAutoRifles35,,,,,,"Requires Level 35 Automatic Rifles"
reqAutoRifles40,,,,,,"Requires Level 40 Automatic Rifles"
